"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"T4G Nano","t4g.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0028 hourly","$0.0018 hourly","$0.0009 hourly","unavailable","unavailable"
"T3A Nano","t3a.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0031 hourly","$0.0019 hourly","$0.0013 hourly","$0.0077 hourly","$0.0065 hourly"
"T3 Nano","t3.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0056 hourly","$0.0035 hourly","$0.0018 hourly","$0.0102 hourly","$0.0081 hourly"
"T4G Micro","t4g.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Up to 5 Gigabit","$0.0056 hourly","$0.0035 hourly","$0.0017 hourly","unavailable","unavailable"
"T2 Nano","t2.nano","0.5 GiB","1 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Low to Moderate","$0.0062 hourly","$0.0039 hourly","unavailable","$0.0085 hourly","$0.0062 hourly"
"T3A Micro","t3a.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Up to 5 Gigabit","$0.0062 hourly","$0.0039 hourly","$0.0023 hourly","$0.0154 hourly","$0.0131 hourly"
"T3 Micro","t3.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Up to 5 Gigabit","$0.0112 hourly","$0.0071 hourly","$0.0035 hourly","$0.0204 hourly","$0.0163 hourly"
"T4G Small","t4g.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0112 hourly","$0.0071 hourly","$0.0043 hourly","unavailable","unavailable"
"T3A Small","t3a.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0123 hourly","$0.0078 hourly","$0.0056 hourly","$0.0307 hourly","$0.0262 hourly"
"T2 Micro","t2.micro","1.0 GiB","1 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Low to Moderate","$0.0124 hourly","$0.0077 hourly","$0.0039 hourly","$0.0170 hourly","$0.0123 hourly"
"C6G Medium","c6g.medium","2.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0213 hourly","$0.0134 hourly","$0.0074 hourly","unavailable","unavailable"
"T3 Small","t3.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0224 hourly","$0.0141 hourly","$0.0076 hourly","$0.0408 hourly","$0.0325 hourly"
"T4G Medium","t4g.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0224 hourly","$0.0142 hourly","$0.0079 hourly","unavailable","unavailable"
"C7G Medium","c7g.medium","2.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0245 hourly","$0.0162 hourly","$0.0082 hourly","unavailable","unavailable"
"C6GD Medium","c6gd.medium","2.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 10 Gigabit","$0.0245 hourly","$0.0154 hourly","$0.0086 hourly","unavailable","unavailable"
"T3A Medium","t3a.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0246 hourly","$0.0155 hourly","$0.0109 hourly","$0.0430 hourly","$0.0339 hourly"
"T2 Small","t2.small","2.0 GiB","1 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Low to Moderate","$0.0248 hourly","$0.0155 hourly","$0.0077 hourly","$0.0340 hourly","$0.0247 hourly"
"M6G Medium","m6g.medium","4.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0253 hourly","$0.0159 hourly","$0.0088 hourly","unavailable","unavailable"
"A1 Medium","a1.medium","2.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0255 hourly","$0.0161 hourly","$0.0079 hourly","unavailable","unavailable"
"C7GD Medium","c7gd.medium","2.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.0288 hourly","$0.0181 hourly","$0.0089 hourly","unavailable","unavailable"
"M7G Medium","m7g.medium","4.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0292 hourly","$0.0193 hourly","$0.0081 hourly","unavailable","unavailable"
"M6GD Medium","m6gd.medium","4.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 10 Gigabit","$0.0302 hourly","$0.0190 hourly","$0.0102 hourly","unavailable","unavailable"
"R6G Medium","r6g.medium","8.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0325 hourly","$0.0205 hourly","$0.0107 hourly","unavailable","unavailable"
"M7GD Medium","m7gd.medium","4.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.0355 hourly","$0.0224 hourly","$0.0114 hourly","unavailable","unavailable"
"R6GD Medium","r6gd.medium","8.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 10 Gigabit","$0.0374 hourly","$0.0235 hourly","$0.0119 hourly","unavailable","unavailable"
"R7G Medium","r7g.medium","8.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0375 hourly","$0.0247 hourly","$0.0119 hourly","unavailable","unavailable"
"C6G Large","c6g.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0426 hourly","$0.0268 hourly","$0.0198 hourly","unavailable","unavailable"
"C6GN Medium","c6gn.medium","2.0 GiB","1 vCPUs","EBS only","Up to 16 Gigabit","$0.0432 hourly","$0.0273 hourly","$0.0132 hourly","unavailable","unavailable"
"R7GD Medium","r7gd.medium","8.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.0440 hourly","$0.0277 hourly","$0.0123 hourly","unavailable","unavailable"
"T3 Medium","t3.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0448 hourly","$0.0282 hourly","$0.0171 hourly","$0.0632 hourly","$0.0466 hourly"
"T4G Large","t4g.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0448 hourly","$0.0283 hourly","$0.0192 hourly","unavailable","unavailable"
"C6A Large","c6a.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0467 hourly","$0.0309 hourly","$0.0205 hourly","$0.1388 hourly","$0.1230 hourly"
"C5A Large","c5a.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0470 hourly","$0.0300 hourly","$0.0228 hourly","$0.1390 hourly","$0.1220 hourly"
"C6GD Large","c6gd.large","4.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 10 Gigabit","$0.0490 hourly","$0.0309 hourly","$0.0189 hourly","unavailable","unavailable"
"C7G Large","c7g.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0491 hourly","$0.0325 hourly","$0.0167 hourly","unavailable","unavailable"
"T3A Large","t3a.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0493 hourly","$0.0310 hourly","$0.0147 hourly","$0.0769 hourly","$0.0586 hourly"
"T2 Medium","t2.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Low to Moderate","$0.0496 hourly","$0.0309 hourly","$0.0180 hourly","$0.0676 hourly","$0.0489 hourly"
"M6G Large","m6g.large","8.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0506 hourly","$0.0319 hourly","$0.0233 hourly","unavailable","unavailable"
"A1 Large","a1.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0510 hourly","$0.0321 hourly","$0.0173 hourly","unavailable","unavailable"
"M6A Large","m6a.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0556 hourly","$0.0367 hourly","$0.0216 hourly","$0.1475 hourly","$0.1287 hourly"
