"Name","API Name","Memory","Storage","vCPUs","Network Performance","PostgreSQL","PostgreSQL Reserved Cost","MySQL On Demand Cost","MySQL Reserved Cost","SQL Server Express On Demand Cost","SQL Server Express Reserved Cost","SQL Server Web On Demand Cost","SQL Server Web Reserved Cost","SQL Server Standard On Demand Cost","SQL Server Standard Reserved Cost","SQL Server Enterprise On Demand Cost","SQL Server Enterprise Reserved Cost","Aurora Postgres & MySQL On Demand Cost","Aurora Postgres & MySQL Reserved Cost","Aurora I/O Optimized On Demand Cost","MariaDB On Demand Cost","MariaDB Reserved Cost","Oracle Enterprise On Demand Cost","Oracle Enterprise Reserved Cost"
"T4G Micro","db.t4g.micro","1 GiB","0 GiB (EBS only)","2 vCPUs","Up to 5 Gigabit","$0.0210 hourly","$0.0165 hourly","$0.0210 hourly","$0.0165 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.0210 hourly","$0.0165 hourly","unavailable","unavailable"
"T3 Micro","db.t3.micro","1 GiB","0 GiB (EBS only)","2 vCPUs","Low to Moderate","$0.0260 hourly","$0.0206 hourly","$0.0250 hourly","$0.0220 hourly","$0.0290 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.0250 hourly","$0.0220 hourly","unavailable","unavailable"
"T2 General Purpose Micro","db.t2.micro","1 GiB","0 GiB (EBS only)","1 vCPUs","Low to Moderate","$0.0260 hourly","unavailable","$0.0240 hourly","unavailable","$0.0300 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.0240 hourly","unavailable","$0.0240 hourly","unavailable"
"T4G Small","db.t4g.small","2 GiB","0 GiB (EBS only)","2 vCPUs","Up to 5 Gigabit","$0.0420 hourly","$0.0330 hourly","$0.0420 hourly","$0.0330 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.0420 hourly","$0.0330 hourly","unavailable","unavailable"
"T3 Small","db.t3.small","2 GiB","0 GiB (EBS only)","2 vCPUs","Low to Moderate","$0.0530 hourly","$0.0412 hourly","$0.0490 hourly","$0.0440 hourly","$0.0580 hourly","$0.0365 hourly","$0.1410 hourly","$0.0888 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.0770 hourly","$0.0490 hourly","$0.0440 hourly","$0.0490 hourly","$0.0309 hourly"
"T2 General Purpose Small","db.t2.small","2 GiB","0 GiB (EBS only)","1 vCPUs","Low to Moderate","$0.0530 hourly","unavailable","$0.0490 hourly","unavailable","$0.0580 hourly","unavailable","$0.1590 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.0490 hourly","unavailable","$0.0490 hourly","unavailable"
"T4G Medium","db.t4g.medium","4 GiB","0 GiB (EBS only)","2 vCPUs","Up to 5 Gigabit","$0.0840 hourly","$0.0660 hourly","$0.0840 hourly","$0.0660 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.0930 hourly","$0.0835 hourly","$0.1210 hourly","$0.0840 hourly","$0.0660 hourly","unavailable","unavailable"
"T3 Medium","db.t3.medium","4 GiB","0 GiB (EBS only)","2 vCPUs","Low to Moderate","$0.1060 hourly","$0.0824 hourly","$0.0980 hourly","$0.0880 hourly","$0.0920 hourly","$0.0581 hourly","$0.1700 hourly","$0.1071 hourly","unavailable","unavailable","unavailable","unavailable","$0.1180 hourly","$0.1040 hourly","$0.1530 hourly","$0.0980 hourly","$0.0880 hourly","$0.0980 hourly","$0.0617 hourly"
"T2 General Purpose Medium","db.t2.medium","4 GiB","0 GiB (EBS only)","2 vCPUs","Low to Moderate","$0.1060 hourly","unavailable","$0.0980 hourly","unavailable","$0.1170 hourly","unavailable","$0.4290 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.0980 hourly","unavailable","$0.0980 hourly","unavailable"
"T4G Large","db.t4g.large","8 GiB","0 GiB (EBS only)","2 vCPUs","Up to 5 Gigabit","$0.1670 hourly","$0.1321 hourly","$0.1670 hourly","$0.1321 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.1860 hourly","$0.1671 hourly","$0.2420 hourly","$0.1670 hourly","$0.1321 hourly","unavailable","unavailable"
